id_prestador,id_especialidad
50020142319765,9
50020042319833,10
51020072319881,105
51067352322635,105
14900772196037,1
14900772196037,4
51062742322773,105
50500072362031,9
51062742322880,105
53420212354812,3
14500212361933,1
14500212361933,4
51140982336962,101
51140982336962,105
50940142395717,9
51140142336995,105
50421052354837,9
52420072354815,3
10062522222600,101
10062522222600,1
10062522222600,4
51020132319880,105
51066582322911,101
51066582322911,105
52060562322913,3
52062242322702,3
51065742322875,105
51060492322902,105
51940072395684,105
52420212354752,3
52421402354810,3
52421402354810,101
51020072319219,101
50067602322317,8
53064122222549,10
52421052354734,3
53460142355820,2
53460142355820,5
50500212361960,9
53660282174756,10
51020022319909,105
51140142336915,105
51420212354834,105
52063572322672,3
50020032319720,9
50260072330424,3
51063222322826,105
51060282322375,105
53060352222561,9
50460142355823,105
51140142336994,105
53020012319752,1
53020012319752,4
52500212362036,3
51820632389275,105
53062742222523,10
50060352222879,1
50060352222879,4
53020152319966,1
53020152319966,4
50500492362015,9
15260142330485,101
15260142330485,1
15260142330485,4
51020122319892,105
52020132319901,3
51060352322898,105
50420212354713,9
51821192389344,105
50020152319845,10
51780212983612,105
51062742322319,101
50020152319830,8
51020132319886,105
52700282378602,3
53020032319772,101
51063712322376,105
52064272322624,3
15820842389330,101
51020022319874,105
51500072361923,105
50064412122433,105
52060562222437,10
52064412322807,3
51421052354800,105
50260352330446,9
51140142336988,105
51065882322772,105
50260212330422,9
52260772330435,3
53420212354805,9
53420212354805,105
10140142236950,1
10140142236950,4
50064342322613,8
52067602322732,3
51068052322753,105
51820632389274,105
51820702389279,105
51064122222548,105
51140982336937,105
52661262374726,3
50420352354798,9
51020022319897,105
52421052354778,3
52421332354779,3
51900562396056,105
53421542354768,9
53421542354768,105
50063572322660,101
52062522322674,3
51700072378591,105
53660282174742,10
